Authors;Title;Link;Abstract;Author Keywords
Bosse R., Soares A.V., Hounsell M.S.;Serious games for balance improvement: A systematic literature mapping;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84961575431&partnerID=40&md5=7bce5b7ff2f382f56f5ed18251714f8a;Rehabilitation using video games is more motivating than standard rehabilitation. There are several games developed for balance rehabilitation however, they focus on different aspects, apply a variety of assessment and were developed using a myriad of approaches. In order to provide an overview about specially purposed games for balance rehabilitation, a systematic literature mapping was conducted to assess how they were developed, what software evaluation and clinical assessment were applied and the devices they used. A total of 514 studies were analyzed, but only 44 of them satisfied the inclusion and exclusion criteria. As a result, we verified that most studies used attachment based commercial devices, usability is the most used criteria to evaluate the game and questionnaires are used for it. There is no consensus on clinical assessment metrics and a remarkable lack of design methodology used. From the plethora of serious games found in the literature it is clear that much research need to be done but games can already be considered an acceptable approach for balance promotion. © Springer International Publishing Switzerland 2016.;Balance, Literature mapping, Rehabilitation, Serious games
Soad G.W., Esteca A.M.N., Fioravanti M.L., Barbosa E.F.;Towards a CSCL systems evaluation catalog;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84973380039&partnerID=40&md5=e88befdc13cc55d29df3d1e547736963;Computer Supported Collaborative Learning (CSCL) has stood out as one of the most successful strategies to support the teaching and learning processes. Currently, a variety of CSCL systems for different knowledge areas and educational levels can be found. The evaluation of such systems is essential for both the selection of the most appropriate computational tool and improvements in the existing tools. Motivated by this scenario, we present a CSCL Systems Evaluation Catalog established from the results of a systematic mapping conducted in this domain. The main goal of the systematic mapping was to find the characteristics to be considered in this type of evaluation. The catalog adopts a three-level hierarchical structure, whose dimensions, characteristics and description of CSCL systems are defined and detailed. Copyright ISCA.;CSCL systems, Evaluation catalog, Systematic mapping
Söylemez M., Tarhan A.;The use of maturity/capability frameworks for healthcare process assessment and improvement;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84993985669&partnerID=40&md5=6ddbf500139b94972e759ee6f46260aa;Process assessment enables to identify strengths and weaknesses of selected processes in a specific domain typically by referencing process maturity/capability frameworks. Assessment findings are usually transformed into action-items for process improvement. In healthcare domain where hospitals offer high-risk services to patients every day in a complex, dynamic, and multidisciplinary environment, establishing process thinking and effective process management is increasingly demanded but not an easy task to accomplish. In this study, we investigate the maturity/capability frameworks that are proposed or used for assessing and improving the healthcare processes. We searched the studies reported between the years 2000 and 2015 in scientific digital libraries and identified 29 studies out of 958 initially retrieved in a systematic way. This study provides an analysis of six studies out of 29 with respect to a number of research questions regarding context, scope, time coverage, and results as well as research method and contribution. © Springer International Publishing Switzerland 2016.;Capability framework, Healthcare, Healthcare process, Maturity model, Process assessment, Process capability, Process improvement, Process maturity, Systematic mapping
Paula D., Cormican K.;Understanding design thinking in design studies (2006-2015): A systematic mapping study;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84980017379&partnerID=40&md5=6e7dd7255875786551c883ace2c30c6a,[No abstract available],Design research, Design thinking, Empirical study, Mapping study;;
Arkin E., Tekinerdogan B., Imre K.M.;Systematic approach for deriving feasible mappings of parallel algorithms to parallel computing platforms;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84961798815&partnerID=40&md5=c5c752b87c323ea8e8c2dbe19157edef;The need for high-performance computing together with the increasing trend from single processor to parallel computer architectures has leveraged the adoption of parallel computing. To benefit from parallel computing power, usually parallel algorithms are defined that can be mapped and executed on parallel computing platforms. In general, different alternative mappings can be defined each with different performance. For small computing platforms with a limited number of processing nodes, the mapping process can be carried out manually. However, for large-scale parallel computing platforms in which hundreds of thousands of processing nodes are applied, the number of possible mapping alternatives increases dramatically, and the mapping process becomes intractable for the human engineer. To assist the parallel computing engineer, we provide a systematic approach to derive feasible mapping alternatives of parallel algorithms to parallel computing platforms. The approach includes activities for modeling the parallel algorithm and parallel computing platform, generation of feasible mapping alternatives, generation of the deployment code, and finally the deployment of the generated code to the nodes. We evaluate our approach for deriving feasible mapping alternatives for four well-known parallel algorithms. The evaluation is based on both simulations and real executions of the generated mapping alternatives. © 2016 John Wiley & Sons, Ltd.;Architecture viewpoints, Model-driven software development, Parallel computing, Tool support
Souza E., Vitório D., Castro D., Oliveira A.L.I., Gusmão C.;Characterizing opinion mining: A systematic mapping study of the Portuguese language;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84977470818&partnerID=40&md5=ce31d2b154d4a29e3bdba0b6bdada1b9;The growth of social media and user-generated content (UGC) on the Internet provides a huge quantity of information that allows discovering the experiences, opinions, and feelings of users or customers. Opinion Mining (OM) is a sub-field of text mining in which the main task is to extract opinions from UGC. Given that Portuguese is one of the most common spoken languages in the world, and it is also the second most frequent on Twitter, the goal of this work is to plot the landscape of current studies that relates the application of OM for Portuguese. A systematic mapping review (SMR) method was applied to search, select and to extract data from the included studies. Manual and automated searches retrieved 6075 studies up to year 2014, from which 25 articles were included. Almost 70 % of all approaches focus on the Brazilian Portuguese variant. Naïve Bayes and Support Vector Machine were the main classifiers and SentiLex-PT was the most used lexical resource. Portugal and Brazil are the main contributors in processing the Portuguese language. © Springer International Publishing Switzerland 2016.;Opinion mining, Portuguese language, Sentiment analysis, Text classification, Text mining
Fatima B., Ramzan H., Asghar S.;Session identification techniques used in web usage mining: A systematic mapping of scholarly literature;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84994301798&partnerID=40&md5=5f92c71367e9fe3f4e16b1430ca74fd6;Purpose - The purpose of this paper is to critically analyze the state-of-the-art session identification techniques used in web usage mining (WUM) process in terms of their limitations, features, and methodologies. Design/methodology/approach - In this research, systematic literature review has been conducted using review protocol approach. The methodology consisted of a comprehensive search for relevant literature over the period of 2005-2015, using four online database repositories (i.e. IEEE, Springer, ACM Digital Library, and ScienceDirect). Findings - The findings revealed that this research area is still immature and existing literature lacks the critical review of recent session identification techniques used in WUM process. Originality/value - The contribution of this study is to provide a structured overview of the research developments, to critically review the existing session identification techniques, highlight their limitations and associated challenges and identify areas where further improvements are required so as to complement the performance of existing techniques. © Emerald Group Publishing Limited.;Clustering, Pre-processing, Session identification, Sessionization, Web log file, Web usage mining
Kersten T.P., Stallmann D., Tschirschwitz F.;Development of a new low-cost indoor mapping system - System design, system calibration and first results;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84979243131&partnerID=40&md5=f0bf231c1db7b532b961885d0e7d62e2;For mapping of building interiors various 2D and 3D indoor surveying systems are available today. These systems essentially differ from each other by price and accuracy as well as by the effort required for fieldwork and post-processing. The Laboratory for Photogrammetry & Laser Scanning of HafenCity University (HCU) Hamburg has developed, as part of an industrial project, a lowcost indoor mapping system, which enables systematic inventory mapping of interior facilities with low staffing requirements and reduced, measurable expenditure of time and effort. The modelling and evaluation of the recorded data take place later in the office. The indoor mapping system of HCU Hamburg consists of the following components: laser range finder, panorama head (pan- Tilt-unit), single-board computer (Raspberry Pi) with digital camera and battery power supply. The camera is pre-calibrated in a photogrammetric test field under laboratory conditions. However, remaining systematic image errors are corrected simultaneously within the generation of the panorama image. Due to cost reasons the camera and laser range finder are not coaxially arranged on the panorama head. Therefore, eccentricity and alignment of the laser range finder against the camera must be determined in a system calibration. For the verification of the system accuracy and the system calibration, the laser points were determined from measurements with total stations. The differences to the reference were 4-5mm for individual coordinates.;3d, Calibration, Camera, Modelling, Panorama, Reconstruction, Sparse point cloud
Pereira K.S., Feitosa E., Conte T.;A taxonomy to classify risk end-user profile in interaction with the computing environment;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84978898701&partnerID=40&md5=7c8b5f52a686968f62d62ea566f1115f;The objective of this paper to summarize the current knowledge in Human Computer Interaction (HCI) and Information Security (IS) areas regarding the classification of the end-user profile and present a new taxonomy to classify risk end-user profile in interaction with the computing environment in the information security perspective. A systematic mapping study was performed to assess the taxonomy of end-users. From an initial set of 105 papers based on string search, we conducted and selected a total of 21 papers. After the full reading of these 21 papers, only 02 papers were selected and 01 new paper were manually added. The results obtained allowed us to identify gap profiles of end-users related to the risk they cause to the computing environment. Thus, we propose a taxonomy to classify risk end-user profile in interaction with the computing environment. © Springer International Publishing Switzerland 2016.;Computing environment, Risk end-user, Taxonomy
Frank S., Labonnote N.;Monitoring technologies for buildings equipped with ambient assisted living: Current status and where next;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84962715647&partnerID=40&md5=8bcf6d4f09face661a884304b7e7d603;The objective of this study is to provide an overview of current developments in monitoring technologies in buildings equipped with ambient assisted living technologies, as well as a short summary of the challenges facing the building industry and trends in future developments. A systematic mapping approach was used as a basis for describing the current state-of-the-art. An initial search of three databases provided more than 3000 articles, of which 610 were selected as relevant to the study once duplicates were removed and a screening process applied using inclusion and exclusion criteria based on titles and abstracts. Keywording was carried out in order to address research questions relevant to the study. © 2015 IEEE.;acting, ambient assisted living, assistive technologies, monitoring, perceiving, systematic mapping approach
Alferillo V., Inés M., Matturro G.;Use case technique for requirements modeling in distributed development environments: A mapping study;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84961903003&partnerID=40&md5=45b206d0d944f3caff109079dcccbf28;This paper presents the process and outcomes of a systematic literature mapping about the application of the Use Cases technique for software requirements specification in distributed software development environments. The purpose is to identify which methods, tools and methodologies are reported in literature as more frequently used and how the Use Case technique is applied when the project team is not collocated. © 2015 IEEE.;distributed software development, requirements engineering, Systematic literature mapping, use cases
Muthukumar R., Damodaran D.;Enhancing software quality through systematic object mapping;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84961832243&partnerID=40&md5=a52c94b18564ef83103411b1f3f4e535;Indian Software industries are uniquely placed world over as the software solution providers due to the advantage of high calibre, good English speaking technical manpower employers. The companies enjoy a trusted status among the western companies. However India is still lacking in becoming a world leader in providing quality software solution. The software industries demonstrate compliance to specific western standards implying a mere follower rather than a leader. Countries in the South East Asia, Eastern Europe and also South America pose serious threat to Indian Companies from becoming world leaders. Opinions are floating that most serious development cannot be carried out in India owing to less than mature Quality levels of both the outsourced as well as original software. The basic strategy to demonstrate software quality is to reduce the frequency of the defects and issues and evolving mitigating methods to weaken the severity experienced by the users. In this paper an attempt is made to improve the software quality by mapping the relational objects of the software. Functional defect data was gathered for an application Software and categorised into High, Medium and Low type of defects with underlying need for urgent attention of High category ones. The number of defects generated through test cases for each object (module) is normalised and treated to form relational clusters. Dendrogram is drawn and cluster members are arrived. Ward method of maxima and minima tabulated for each of the category of defects and the mean is found. Defects by test cases is found and graded as needing primary attention to that of less significant ones. Modules contributing to the highest defect density is identified and listed. These defects are systematically analysed and root causes identified. By placing the best mitigating practices the Software Quality can be enhanced. © 2015 IEEE.,;
Verdonck M., Gailly F., De Cesare S., Poels G.;Ontology-driven conceptual modeling: A'systematic literature mapping and review;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84954147319&partnerID=40&md5=711779b33114159cad981217ab8c7652;Ontology-driven conceptual modeling (ODCM) is still a relatively new research domain in the field of information systems and there is still much discussion on how the research in ODCM should be performed and what the focus of this research should be. Therefore, this article aims to critically survey the existing literature in order to assess the kind of research that has been performed over the years, analyze the nature of the research contributions and establish its current state of the art by positioning, evaluating and interpreting relevant research to date that is related to ODCM. To understand and identify any gaps and research opportunities, our literature study is composed of both a systematic mapping study and a systematic review study. The mapping study aims at structuring and classifying the area that is being investigated in order to give a general overview of the research that has been performed in the field. A review study on the other hand is a more thorough and rigorous inquiry and provides recommendations based on the strength of the found evidence. Our results indicate that there are several research gaps that should be addressed and we further composed several research opportunities that are possible areas for future research. © 2015 - IOS Press and the authors. All rights reserved.;conceptual model, ontology, Ontology-driven conceptual modeling, systematic literature mapping, systematic literature study
Britto R., Usman M.;Bloom's taxonomy in software engineering education: A systematic mapping study;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84960403963&partnerID=40&md5=0680526c24ca06af4831b2c7dd6e11de;Designing and assessing learning outcomes could be a challenging activity for any Software Engineering (SE) educator. To support the process of designing and assessing SE courses, educators have been applied the cognitive domain of Bloom's taxonomy. However, to the best of our knowledge, the evidence on the usage of Bloom's taxonomy in SE higher education has not yet been systematically aggregated or reviewed. Therefore, in this paper we report the state of the art on the usage of Bloom's taxonomy in SE education, identified by conducted a systematic mapping study. As a result of the performed systematic mapping study, 26 studies were deemed as relevant. The main findings from these studies are: i) Bloom's taxonomy has mostly been applied at undergraduate level for both design and assessment of software engineering courses, ii) software construction is the leading SE subarea in which Bloom's taxonomy has been applied. The results clearly point out the usefulness of Bloom's taxonomy in the SE education context. We intend to use the results from this systematic mapping study to develop a set of guidelines to support the usage of Bloom's taxonomy cognitive levels to design and assess SE courses. © 2015 IEEE.;Context, Data mining, Education, Software, Software engineering, Systematics, Taxonomy
Reveco I., Cravero A.;GORE in the IT aligment to business strategy: A Systematic Mapping Study;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84962232513&partnerID=40&md5=55ceac2a624aa4aa8d6da49bf619e510;The enterprises cannot be competitive if their business and IT strategies are not aligned. In the last years, the alignment issue was addressed in several researches and numerous methods, approaches and techniques, using GORE were proposed. This paper proposes a systematic mapping study useful to evaluate differents alignment approaches, with the aim of discovering the objectives models used in the requirements engineering stage, serving as a starting point for future research in this area. © 2003-2012 IEEE.;Alignment, GORE, Requirements, Systematic mapping
Bezerra R.M.M., Da Silva F.Q.B., Santana A.M., Magalhaes C.V.C., Santos R.E.S.;Replication of empirical studies in software engineering: An update of a systematic mapping study;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84961626034&partnerID=40&md5=a83763f5c6f3dd30fafa9230fae3a80e;Context: Current empirical research highlight the need for replications of empirical studies because replications plays an important role in the construction of scientific knowledge. Objective: Considering the importance of replications in the consolidation of the knowledge produced in the software engineering research, this study aims to update and extend the results produced in a previous mapping study seeking to discuss the current state of the replication work of empirical studies performed in software engineering research between 2011 and 2012. Method: We applied the systematic review method to search and select published papers, to extract, and synthesize data from reported replications. Results: This study analyzed more than 7,000 articles, from which 39 articles that published replications between 2011 and 2012 were selected. Data extracted from these studies were used to update the information about the replications work in software engineering. Conclusion: The number of replications increased significantly in the period, when compared to the previous mapping study. In particular, the percentage of external replications also increased, with respect to internal ones. However, several other limitations identified in the previous mapping studies are still observed in this new set of replications. © 2015 IEEE.;Empirical Software Engineering, Replications, Systematic Mapping Study
Carroll C., Falessi D., Forney V., Frances A., Izurieta C., Seaman C.;A Mapping Study of Software Causal Factors for Improving Maintenance;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84961661951&partnerID=40&md5=692d940e823529be710d2f4f2ee0307f;Context: Software maintenance is important to keep existing software systems functional for organizations or users that depend on that software. Goal: We aim to identify the factors, i.e., software characteristics such as code complexity, leading to maintenance problems. Method: We present a Mapping Study (MS) on controlled experiments that investigated software characteristics related to defects during maintenance. Results: The search strategy identified 78 papers, of which 9 have been included in our study, dated from 1985 to 2013, after applying our inclusion and exclusion criteria. We extracted data from these papers to identify the research methods, and the independent, dependent, blocked, and measured variables. Conclusions: Our MS results point to a weak evidence on software factors causing defects during maintenance. Stronger evidence can be developed via more controlled experiments that address multiple independent variables and hold the software objects constant. © 2015 IEEE.;controlled experiments, defects, mapping study, Software maintenance, systematic literature review
Pacheco-Gutierrez S., Stancu A., Mustafa M., Codres E., Codres B.;Three-dimensional interest point detection and description using Speeded-Up Robust Features and histograms of oriented points;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84957836986&partnerID=40&md5=5206bb7c4f661f30bcede04ddedc3e12;his article presents a novel systematic methodology for the detection of interest points in 3D point clouds and its corresponding descriptors by using the information of an RGB camera and a structured-light sensor. This is achieved by fusing Speeded-Up Robust Features (SURF) in the image space, and histograms that statistically represent the relationship of three dimensional geometric data around the interest points. The SURF algorithm is implemented over an image whose pixel coordinates have a direct corresponding 3D point, thus allowing the fusion of both approaches. By combining both methodologies, it is intent to define a set of interest points whose descriptors are able to maintain the intrinsic characteristics of its constituent parts such as repeatability, distinctiveness and robustness while remaining compact and fast to compute. The detected points will be use for both, localization and mapping of mobile robots in partially unknown environments. © 2015 IEEE.;Computer vision, Landmark Detection and Characterization, Robotics, SLAM
Falcão L., Ferreira W., Borges A., Nepomuceno V., Soares S., Baldassare M.T.;An Analysis of Software Engineering Experiments Using Human Subjects;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84961583746&partnerID=40&md5=05606077c35bc4f96a792426f3a8779f;Context: Researchers perform experiments to check their proposals under controlled conditions. Thus, experiments are an important category of empirical studies and are the classical approach for identifying cause-effect relationships. Goal: Quantitatively characterize and analyze the controlled experiments in software engineering published in journal and conference proceedings in the decade from 2003 to 2013. Method: We performed a systematic mapping study that includes all full papers published at EASE, ESEM and ESEJ. A total of 731 were selected. Results: We obtained 110 papers that report controlled experiments. In these experiments we obtained quantitative data about authors and institutions, subjects, tasks, environment, replication and threats to validity. Conclusions: The main contribution of this work is the amount of experiments published in the three main venues of Empirical Software Engineering between the years 2003 to 2013. And also how these experiments are being reported and executed. © 2015 IEEE.;Decision support systems, Software engineering, Systematics
Lacerda A., De Queiroz R., Barbosa M.;A systematic mapping on security threats in mobile devices;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84959454262&partnerID=40&md5=2f632d2c583a1196eae9f0feaa53d9eb;The increase in the use of mobile devices and the large amount of sensitive information that they store make them valuable targets for cybercriminals. In this work, we use the systematic mapping methodology to identify what are the main security incidents targeting mobile devices and what are their main causes. Finally, this research aims to propose some guidelines to avoid or minimize the extent of the damages provoked by these incidents. © 2015 IEEE.;digital identity theft, mobile malware behaviour, privacy, systematic mapping
Gonçales L.J., Farias K., Scholl M., Veronéz M., De Oliveira T.C.;Comparison of design models: A systematic mapping study;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84962574658&partnerID=40&md5=5d11720dbab54d3ae43c182465850ad4;Context: Model comparison plays a central role in many software engineering activities. However, a comprehensive understanding about the state-of-the-art is still required. Goal: This paper aims at classifying and performing a thematic analysis of the current literature. Method: For this, we have followed well-established empirical guidelines to define and perform a systematic mapping study. Results: Some studies (14 out of 40) provide generic model comparison techniques, rather than specific ones for UML diagrams. Conclusion: Fine-grained techniques are still required to support ever-present and complex model comparison tasks during the evolution of design models. © 2015 World Scientific Publishing Company.;Mapping study, Model comparison, Model matching, Model similarity
Parkkila J., Ikonen J., Porras J.;Where is the research on connecting game ? worlds?—A systematic mapping study;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84964959502&partnerID=40&md5=d5e4660a389356f06e1e54b2c75060a7,[No abstract available],Connecting video games, Connecting virtual worlds, Interoperability, Mapping study, Systematic literature review;;
Guedes G., Silva C., Soares M., Castro J.;Variability Management in Dynamic Software Product Lines: A Systematic Mapping;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84958550596&partnerID=40&md5=505b15d1e4fb357391f1a1de02358726;Dynamic Software Product Lines (DSPLs) are SPLs in which the product configuration may occur at runtime. Over the last decade, DSPL has gained the interest of researchers as a way of modelling and developing dynamically adaptive systems. We have conducted a systematic mapping to discover how variability is modelled in DSPL approaches and which information is used to guide variability binding at runtime. This paper presents the results of our systematic mapping, which can be used to identify research trends and gaps for variability management in DSPLs. © 2015 IEEE.;dynamic software product lines, dynamically adaptive systems, Systematic mapping, variability management
Paiva S.L.D.C., Simao A.D.S.;A Systematic Mapping Study on Test Generation from Input/Output Transition Systems;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84958235921&partnerID=40&md5=4a11222530cf3542f8047a0b76a39271;Context: The construction of complex systems has increased the adoption of technologies that aim at automating the testing activity. Model-Based Testing (MBT) has emerged as an approach to automate the generation of high-quality test suites from behavioural models. Input/Output Transition Systems(IOTSs) have been used in MBT because they are more expressive than other formalisms. Objective: This paper focuses on methods for test generation from IOTSs, aiming at synthesizing available knowledge and identifying gaps in the existing approaches. Method: A systematic mapping was conducted, in which 84 studies were evaluated and categorized in the taxonomy of MBT approaches. Results: The results indicate most of the reported approaches apply non-deterministic algorithms to test generation which do not employ measures of coverage or quality. This scenario underscores the importance of further research into this topic. Conclusion: The evidences indicate that the generation of complete test suites is guaranteed in theory without satisfying a certain test selection criterion. This result points out the need of additional investigation in this topic. © 2015 IEEE.;Input/Output Transition Systems, systematic mapping study, test generation
Flemstrom D., Sundmark D., Afzal W.;Vertical Test Reuse for Embedded Systems: A Systematic Mapping Study;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84958235305&partnerID=40&md5=16444cc014261bf229bc5003e5f50f50;Vertical test reuse refers to the reuse of test cases or other test artifacts over different integration levels in the software or system engineering process. Vertical test reuse has previously been proposed for reducing test effort and improving test effectiveness, particularly for embedded system development. The goal of this study is to provide an overview of the state of the art in the field of vertical test reuse for embedded system development. For this purpose, a systematic mapping study has been performed, identifying 11 papers on vertical test reuse for embedded systems. The primary result from the mapping is a classification of published work on vertical test reuse in the embedded system domain, covering motivations for reuse, reuse techniques, test levels and reusable test artifacts considered, and to what extent the effects of reuse have been evaluated. © 2015 IEEE.;embedded system, systematic mapping study, vertical test reuse
Gomes P., Cavalcante E., Maia P., Batista T., Oliveira K.;A Systematic Mapping on Discovery and Composition Mechanisms for Systems-of-Systems;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84958244553&partnerID=40&md5=85a3c841015a13497256c2330d61412b;Systems-of-systems (SoS) represent a class of systems resulted from the interaction among independent systems that cooperate to form a larger and more complex system aiming at accomplishing global missions. An inherent characteristic of SoS is the high heterogeneity of their constituent systems, which are distributed, independent, and developed with different technologies. In addition, SoS are highly dynamic, so that their constituents are often partially known or even unknown at design time. As a consequence, these constituent systems need to be discovered, selected, and composed at runtime towards identifying the proper arrangements that contribute to the accomplishment of the global missions of the SoS. In this paper, we present the results of a systematic mapping aimed to investigate the existing approaches to discover and compose constituent systems within an SoS. Besides providing an overview of the state of the art on these topics, we shed light on important issues to be addressed by future research towards a more effective development of SoS. © 2015 IEEE.;composition, discovery, search, systematic mapping, systems-of-systems
Souza E.F., Falbo R.A., Vijaykumar N.L.;Using the Findings of a Mapping Study to Conduct a Research Project: A Case in Knowledge Management in Software Testing;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84958242752&partnerID=40&md5=93ac72086cddc556c19f7c9b52e5f9e7;A mapping study provides a broad overview of a research area in order to determine whether there is research evidence on a particular topic. Results of a systematic mapping may identify suitable areas for performing future research. In this paper, we discuss our experience in using the findings of a mapping study on Knowledge Management (KM) in Software Testing for performing a real research project, which also applied other empirical approaches. The main goals of this paper are: (i) to reinforce the importance of a systematic mapping in the conduction of a research project by discussing a real case of such application, and (ii) to present the results of our survey on the most important aspects of KM when applied to software testing. © 2015 IEEE.;Knowledge Management, Mapping Study, Software Testing, Survey, Systematic Mapping
Vargas-Enriquez J., Garcia-Mundo L., Genero M., Piattini M.;A Systematic Mapping Study on Gamified Software Quality;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84954548620&partnerID=40&md5=e66333e5761cfdf8b58760017e9e1f03;Gamified software is currently very popular, and it is expected that it will be widely adopted over the coming years. The social impact of gamified software will probably be very high, and we therefore believe that the assessment and improvement of gamified software quality may be necessary. The aim of this paper is to present a systematic mapping study (SMS) carried out to discover the current state of the research on software gamification quality, in order to identify gaps that merit rigorous future investigation. This SMS allowed us to select 35 papers found in five digital libraries up to April 2014. This paper summarizes the main issues of the planning and the conducting of the SMS. The main results of the data synthesis are detailed and future work is also outlined. © 2015 IEEE.;gamification, gamified software quality, ISO/IEC 25010, systematic mapping study
Bayar S., Yurdakul A.;PFMAP: Exploitation of Particle Filters for Network-on-Chip Mapping;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84959538668&partnerID=40&md5=d46edb833298b36a0f79a8151a282088;In this paper, we propose a mapping algorithm called particle filter mapping (PFMAP), PFMAP is able to map task nodes onto the cores of tile-based network-on-chip (NoC) architectures, such as regular, irregular, and custom 2-D or 3-D topologies. PFMAP is inspired from systematic resampling algorithm for particle filters, in which all particles can run parallel and independently from each other. Based upon the experimental results from applying PFMAP for various real life and synthetic applications onto the different topologies and architectures, the performance of the 2-D mesh architectures in terms of communication cost increased by up to 51% for irregular topologies, and by up to 31% for custom architectures. Similarly, total travel distance obtained by PFMAP is reduced by up to 45% for custom 2-D mesh architectures. In addition to these, average clock cycles per flit and total network power are reduced by up to 17% and 15% for regular 2-D mesh architectures, respectively. Finally, communication cost is diminished by up to 34% for 3-D regular NoC architectures. © 2015 IEEE.;Communication system traffic, digital signal processing, greedy algorithms, multithreading, network-on-chip, parallel algorithms, routing, System-on-chip
Milik A.;On hardware synthesis and implementation of PLC programs in FPGAs;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84959531798&partnerID=40&md5=a64d89423d7d07db32312be790e0dd66;Many processes require controllers with an instant response (e.g. motor control, CNC machines). A high-performance PLC can be constructed with use of programmable logic devices. A lack of custom synthesis tools disables the use of standard languages widely accepted by automation designers. The paper presents the systematic process of a PLC program synthesis to hardware structure. An input PLC program is given according to the IEC61131-3 standard. The synthesis process has been developed for implementation of a program described with the LD and SFC languages. The essential idea of synthesis process is obtaining a massively parallel operating hardware structure that significantly reduces response processing time. The PLC program is translated into originally developed dedicated graph structure that enables a wide range of optimizations. In the next step, it is mapped into a hardware structure. In order to reduce resource requirements, a strategy with resource sharing is shown, which is an original extension of general mapping concepts. Modern FPGAs are equipped with arithmetic cores dedicated for signal processing, inspiring the development of the original DSP48 block mapping strategy. It attempts to utilize all features of the block in the pipelined calculation model. The considerations are summarized with the implementation result compared against standard PLC implementation, a mutual comparison of general hardware mapping, and with the use of DSP48 units. Â© 2016 Elsevier B.V.;DFG, DSP48, FPGA, High level synthesis, IL, LD, Logic synthesis, PLC, Reconfigurable hardware, SFC
De Lima Fontao A., Dos Santos R.P., Dias-Neto A.C.;Mobile Software Ecosystem (MSECO): A Systematic Mapping Study;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84962182356&partnerID=40&md5=2b78363a23e1377ebcb13787b223629b;The development of mobile applications around a central software platform has been impacting the software industry. Software solutions are collaboratively built within a dynamic market, often requiring adaptation of software development processes. This trend has been broadly studied as Software Ecosystem (SECO)-in the mobile platform domain, named as Mobile Software Ecosystem (MSECO). In this paper, we share the results of a systematic mapping study on the MSECO field that analyzed 28 papers identified as relevant to answer our research questions. The results indicate the growing interest in this research field as well as the main software platforms and trending topics. We confirmed the three main MSECOs as Android (Google), iOS (Apple) and Windows Phone (Microsoft). We observed the more investigated area is mobile app development. Finally, we highlighted the main benefits: the attracting and supporting developers, then helping developers to learn and create content and the app store that allows selling and buying processes. © 2015 IEEE.;Mobile computing, Software ecosystem, Systematic mapping study
Lopes A.M.Z., Pedro L.Z., Isotani S., Bittencourt I.I.;Quality evaluation of web-based educational software: A systematic mapping;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84961718590&partnerID=40&md5=3e7b35f29ae30c71bdad59d4e46ed9f3;Nowadays, with the spread of massive open online courses (MOOC) there is a significant increase in the number of students learning through the Web. Consequently, there is a growing concern about the quality of the Web-based Educational Software (WES). Despite of various mechanisms to evaluate the quality of this software, most of the quality criteria are spread in different articles found in the literature. Therefore, this work aims to conduct a Systematic Literature Mapping to identify the criteria to assess the quality of WES, and classify them according to their contribution. A total of 78 studies were analyzed and classified into four categories of quality: pedagogical, technical, organizational and social. The results contribute to support the maintenance and improvement of the quality of the WES available to the community. © 2015 IEEE.;Quality assessment, Semantic web, Web-based educational software
